year,month,id_region,cliente,division,bl,mercancia,recorrido,importe_transaccion,cantidad_mercancia,kg_c02,arboles,precio_unitario,rendimiento,rendimiento_real,kg_c02_por_recorrido,year_month
2023,1,1000,02125-031,DAI,IGWC,MAGNA,408,1840.032449,82.04462585,198.6300392,13.24200261,22.42721482,7.0,6.07,0.486838331,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,436,1969.502449,87.39462585,211.5823892,14.10549261,22.53573867,7.0,6.0,0.485280709,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,350,1600.812449,70.96462585,171.8053592,11.45369061,22.55789317,7.0,6.23,0.490872455,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,66,1594.222449,72.36462585,175.1947592,11.67965061,22.03041099,7.0,1.15,2.654466048,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,324,1921.102449,90.10462585,218.1432992,14.54288661,21.32079714,7.0,4.3,0.673281788,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,491,1467.982449,66.54462585,161.1045392,10.74030261,22.06012026,7.0,9.49,0.328115151,2023_1
2023,1,1000,02125-031,DAI,IGWC,REPSOL EFITEC 87,316,1390.212449,61.89462585,149.8468892,9.989792612,22.46095569,7.0,6.71,0.474199016,2023_1
2023,1,1000,02125-031,DAI,IGWC,BP REGULAR,176,2195.372449,97.64462585,236.3976392,15.75984261,22.48329009,7.0,2.12,1.343168404,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,274,1008.832449,44.78462585,108.4235792,7.228238612,22.52631187,14.0,9.13,0.395706493,2023_1
2023,1,1000,02125-031,DAI,IGWC,BP REGULAR,443,1220.392449,56.01462585,135.6114092,9.040760612,21.78703206,7.0,10.74,0.306120562,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,328,1906.882449,89.78462585,217.3685792,14.49123861,21.23840725,7.0,4.37,0.662709083,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,64,862.382449,39.78462585,96.31857918,6.421238612,21.67627395,7.0,2.56,1.5049778,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,500,1927.772449,90.78462585,219.7895792,14.65263861,21.23456952,14.0,6.58,0.439579158,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,281,1104.212449,48.83462585,118.2286292,7.881908612,22.61126055,14.0,8.25,0.420742453,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,150,1124.162449,51.78462585,125.3705792,8.358038612,21.7084208,14.0,4.05,0.835803861,2023_1
2023,1,1000,02125-031,DAI,IGWC,BP REGULAR,228,1034.222449,45.78462585,110.8445792,7.389638612,22.58885881,7.0,7.35,0.486160435,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,304,926.132449,41.07462585,99.44166918,6.629444612,22.54755655,14.0,11.56,0.327110754,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,275,1906.882449,89.78462585,217.3685792,14.49123861,21.23840725,14.0,3.67,0.790431197,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,217,2011.332449,94.78462585,229.4735792,15.29823861,21.22002836,7.0,2.71,1.057481932,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,176,1552.712449,69.18462585,167.4959792,11.16639861,22.44302733,7.0,3.24,0.9516817,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,379,1360.252449,60.24462585,145.8522392,9.723482612,22.57881811,7.0,8.34,0.384834404,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,150,1365.472449,60.78462585,147.1595792,9.810638612,22.46410881,14.0,3.26,0.981063861,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,828,2149.712449,96.00462585,232.4271992,15.49514661,22.39175904,7.0,10.19,0.280709178,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,423,1553.282449,69.23462585,167.6170292,11.17446861,22.43505226,14.0,7.77,0.396257752,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,627,2220.232449,104.7846259,253.6835792,16.91223861,21.18853249,7.0,6.97,0.40459901,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,319,1247.152449,55.20462585,133.6503992,8.910026612,22.59144827,14.0,7.89,0.418966769,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,455,1731.862449,80.15462585,194.0543492,12.93695661,21.60651903,7.0,6.96,0.426493075,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,346,1898.522449,89.38462585,216.4001792,14.42667861,21.23992164,14.0,4.64,0.625434044,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,100,1702.942449,75.92462585,183.8135192,12.25423461,22.42938217,14.0,1.64,1.838135192,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,101,2140.272449,95.00462585,230.0061992,15.33374661,22.52808671,7.0,1.26,2.277289101,2023_1
2023,1,1000,02125-031,DAI,IGWC,REPSOL EFITEC 87,216,2088.782449,93.23462585,225.7210292,15.04806861,22.40350546,7.0,2.75,1.045004765,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,252,1851.612449,82.59462585,199.9615892,13.33077261,22.41807418,7.0,3.72,0.79349837,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,359,1841.582449,82.14462585,198.8721392,13.25814261,22.41878187,14.0,5.33,0.55396139,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,184,1188.712449,52.85462585,127.9610492,8.530736612,22.4902254,7.0,4.83,0.695440485,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,114,1715.252449,76.06462585,184.1524592,12.27683061,22.54993606,7.0,1.86,1.615372449,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,231,1329.692449,58.78462585,142.3175792,9.487838612,22.61973143,14.0,5.25,0.616093416,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,315,960.462449,42.61462585,103.1700092,6.878000612,22.5383288,14.0,11.32,0.327523839,2023_1
2023,1,1000,02125-031,DAI,IGWC,BP REGULAR,467,1339.922449,60.04462585,145.3680392,9.691202612,22.31544339,7.0,10.32,0.311280598,2023_1
2023,1,1000,02125-031,DAI,IGWC,BP REGULAR,419,1840.042449,81.77462585,197.9763692,13.19842461,22.50138634,14.0,6.25,0.472497301,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,504,1116.782449,49.78462585,120.5285792,8.035238612,22.43227563,14.0,14.4,0.239144006,2023_1
